"id","name","testament","book_order","total_chapters","created_at"
"1","Genesis","Old","1","50","""2025-08-30T20:43:11.335Z"""
"2","Exodus","Old","2","40","""2025-08-30T20:43:11.335Z"""
"3","Leviticus","Old","3","27","""2025-08-30T20:43:11.335Z"""
"4","Numbers","Old","4","36","""2025-08-30T20:43:11.335Z"""
"5","Deuteronomy","Old","5","34","""2025-08-30T20:43:11.335Z"""
"6","Joshua","Old","6","24","""2025-08-30T20:43:11.335Z"""
"7","Judges","Old","7","21","""2025-08-30T20:43:11.335Z"""
"8","Ruth","Old","8","4","""2025-08-30T20:43:11.335Z"""
"9","1 Samuel","Old","9","31","""2025-08-30T20:43:11.335Z"""
"10","2 Samuel","Old","10","24","""2025-08-30T20:43:11.335Z"""
"11","1 Kings","Old","11","22","""2025-08-30T20:43:11.335Z"""
"12","2 Kings","Old","12","25","""2025-08-30T20:43:11.335Z"""
"13","1 Chronicles","Old","13","29","""2025-08-30T20:43:11.335Z"""
"14","2 Chronicles","Old","14","36","""2025-08-30T20:43:11.335Z"""
"15","Ezra","Old","15","10","""2025-08-30T20:43:11.335Z"""
"16","Nehemiah","Old","16","13","""2025-08-30T20:43:11.335Z"""
"17","Esther","Old","17","10","""2025-08-30T20:43:11.335Z"""
"18","Job","Old","18","42","""2025-08-30T20:43:11.335Z"""
"19","Psalms","Old","19","150","""2025-08-30T20:43:11.335Z"""
"20","Proverbs","Old","20","31","""2025-08-30T20:43:11.335Z"""
"21","Ecclesiastes","Old","21","12","""2025-08-30T20:43:11.335Z"""
"22","Song of Solomon","Old","22","8","""2025-08-30T20:43:11.335Z"""
"23","Isaiah","Old","23","66","""2025-08-30T20:43:11.335Z"""
"24","Jeremiah","Old","24","52","""2025-08-30T20:43:11.335Z"""
"25","Lamentations","Old","25","5","""2025-08-30T20:43:11.335Z"""
"26","Ezekiel","Old","26","48","""2025-08-30T20:43:11.335Z"""
"27","Daniel","Old","27","12","""2025-08-30T20:43:11.335Z"""
"28","Hosea","Old","28","14","""2025-08-30T20:43:11.335Z"""
"29","Joel","Old","29","3","""2025-08-30T20:43:11.335Z"""
"30","Amos","Old","30","9","""2025-08-30T20:43:11.335Z"""
"31","Obadiah","Old","31","1","""2025-08-30T20:43:11.335Z"""
"32","Jonah","Old","32","4","""2025-08-30T20:43:11.335Z"""
"33","Micah","Old","33","7","""2025-08-30T20:43:11.335Z"""
"34","Nahum","Old","34","3","""2025-08-30T20:43:11.335Z"""
"35","Habakkuk","Old","35","3","""2025-08-30T20:43:11.335Z"""
"36","Zephaniah","Old","36","3","""2025-08-30T20:43:11.335Z"""
"37","Haggai","Old","37","2","""2025-08-30T20:43:11.335Z"""
"38","Zechariah","Old","38","14","""2025-08-30T20:43:11.335Z"""
"39","Malachi","Old","39","4","""2025-08-30T20:43:11.335Z"""
"40","Matthew","New","40","28","""2025-08-30T20:43:11.335Z"""
"41","Mark","New","41","16","""2025-08-30T20:43:11.335Z"""
"42","Luke","New","42","24","""2025-08-30T20:43:11.335Z"""
"43","John","New","43","21","""2025-08-30T20:43:11.335Z"""
"44","Acts","New","44","28","""2025-08-30T20:43:11.335Z"""
"45","Romans","New","45","16","""2025-08-30T20:43:11.335Z"""
"46","1 Corinthians","New","46","16","""2025-08-30T20:43:11.335Z"""
"47","2 Corinthians","New","47","13","""2025-08-30T20:43:11.335Z"""
"48","Galatians","New","48","6","""2025-08-30T20:43:11.335Z"""
"49","Ephesians","New","49","6","""2025-08-30T20:43:11.335Z"""
"50","Philippians","New","50","4","""2025-08-30T20:43:11.335Z"""
"51","Colossians","New","51","4","""2025-08-30T20:43:11.335Z"""
"52","1 Thessalonians","New","52","5","""2025-08-30T20:43:11.335Z"""
"53","2 Thessalonians","New","53","3","""2025-08-30T20:43:11.335Z"""
"54","1 Timothy","New","54","6","""2025-08-30T20:43:11.335Z"""
"55","2 Timothy","New","55","4","""2025-08-30T20:43:11.335Z"""
"56","Titus","New","56","3","""2025-08-30T20:43:11.335Z"""
"57","Philemon","New","57","1","""2025-08-30T20:43:11.335Z"""
"58","Hebrews","New","58","13","""2025-08-30T20:43:11.335Z"""
"59","James","New","59","5","""2025-08-30T20:43:11.335Z"""
"60","1 Peter","New","60","5","""2025-08-30T20:43:11.335Z"""
"61","2 Peter","New","61","3","""2025-08-30T20:43:11.335Z"""
"62","1 John","New","62","5","""2025-08-30T20:43:11.335Z"""
"63","2 John","New","63","1","""2025-08-30T20:43:11.335Z"""
"64","3 John","New","64","1","""2025-08-30T20:43:11.335Z"""
"65","Jude","New","65","1","""2025-08-30T20:43:11.335Z"""
"66","Revelation","New","66","22","""2025-08-30T20:43:11.335Z"""
