"id","book_id","chapter_number","total_verses","scraped_at"
"1","1","1","31","""2025-08-30T20:46:52.564Z"""
"2","1","2","25","""2025-08-30T20:46:55.846Z"""
"3","1","3","24","""2025-08-30T20:46:58.658Z"""
"4","1","4","26","""2025-08-30T20:47:01.455Z"""
"5","1","5","32","""2025-08-30T20:47:04.329Z"""
"6","1","6","22","""2025-08-30T20:47:07.642Z"""
"7","1","7","24","""2025-08-30T20:47:10.262Z"""
"8","1","8","22","""2025-08-30T20:47:13.097Z"""
"9","1","9","29","""2025-08-30T20:47:15.823Z"""
"10","1","10","32","""2025-08-30T20:47:19.062Z"""
"11","1","11","32","""2025-08-30T20:47:22.368Z"""
"12","1","12","20","""2025-08-30T20:47:25.650Z"""
"13","1","13","18","""2025-08-30T20:47:28.143Z"""
"14","1","14","24","""2025-08-30T20:47:30.538Z"""
"15","1","15","21","""2025-08-30T20:47:33.258Z"""
"16","1","16","16","""2025-08-30T20:47:35.913Z"""
"17","1","17","27","""2025-08-30T20:47:38.302Z"""
"18","1","18","33","""2025-08-30T20:47:41.330Z"""
"19","1","19","38","""2025-08-30T20:47:44.688Z"""
"20","1","20","18","""2025-08-30T20:47:48.228Z"""
"21","1","21","34","""2025-08-30T20:47:50.575Z"""
"22","1","22","24","""2025-08-30T20:47:53.872Z"""
"23","1","23","20","""2025-08-30T20:47:56.839Z"""
"24","1","24","67","""2025-08-30T20:47:59.439Z"""
"25","1","25","34","""2025-08-30T20:48:04.631Z"""
"26","1","26","35","""2025-08-30T20:48:07.937Z"""
"27","1","27","46","""2025-08-30T20:48:11.436Z"""
"28","1","28","22","""2025-08-30T20:48:15.528Z"""
"29","1","29","35","""2025-08-30T20:48:18.366Z"""
"30","1","30","43","""2025-08-30T20:48:21.777Z"""
"31","1","31","55","""2025-08-30T20:48:25.711Z"""
"32","1","32","32","""2025-08-30T20:48:30.320Z"""
"33","1","33","20","""2025-08-30T20:48:33.626Z"""
"34","1","34","31","""2025-08-30T20:48:36.240Z"""
"35","1","35","29","""2025-08-30T20:48:39.368Z"""
"36","1","36","43","""2025-08-30T20:48:42.604Z"""
"37","1","37","36","""2025-08-30T20:48:46.545Z"""
"38","1","38","30","""2025-08-30T20:48:50.075Z"""
"39","1","39","23","""2025-08-30T20:48:53.259Z"""
"40","1","40","23","""2025-08-30T20:48:55.982Z"""
"41","1","41","57","""2025-08-30T20:48:58.767Z"""
"42","1","42","38","""2025-08-30T20:49:03.902Z"""
"43","1","43","34","""2025-08-30T20:49:07.432Z"""
"44","1","44","34","""2025-08-30T20:49:10.934Z"""
"45","1","45","28","""2025-08-30T20:49:14.270Z"""
"46","1","46","34","""2025-08-30T20:49:17.242Z"""
"47","1","47","31","""2025-08-30T20:49:20.537Z"""
"48","1","48","22","""2025-08-30T20:49:23.755Z"""
"49","1","49","33","""2025-08-30T20:49:26.501Z"""
"50","1","50","26","""2025-08-30T20:49:29.765Z"""
"51","2","1","22","""2025-08-30T20:49:32.720Z"""
"52","2","2","25","""2025-08-30T20:49:35.451Z"""
"53","2","3","22","""2025-08-30T20:49:38.344Z"""
"54","2","4","31","""2025-08-30T20:49:40.971Z"""
"55","2","5","23","""2025-08-30T20:49:44.256Z"""
"56","2","6","30","""2025-08-30T20:49:46.962Z"""
"57","2","7","25","""2025-08-30T20:49:50.048Z"""
"58","2","8","32","""2025-08-30T20:49:52.830Z"""
"59","2","9","35","""2025-08-30T20:49:56.001Z"""
"60","2","10","29","""2025-08-30T20:49:59.474Z"""
"61","2","11","10","""2025-08-30T20:50:02.604Z"""
"62","2","12","51","""2025-08-30T20:50:04.787Z"""
"63","2","13","22","""2025-08-30T20:50:09.186Z"""
"64","2","14","31","""2025-08-30T20:50:11.799Z"""
"65","2","15","27","""2025-08-30T20:50:14.950Z"""
"66","2","16","36","""2025-08-30T20:50:17.839Z"""
"67","2","17","16","""2025-08-30T20:50:21.251Z"""
"68","2","18","27","""2025-08-30T20:50:23.758Z"""
"69","2","19","25","""2025-08-30T20:50:26.770Z"""
"70","2","20","26","""2025-08-30T20:50:29.563Z"""
"71","2","21","36","""2025-08-30T20:50:32.509Z"""
"72","2","22","31","""2025-08-30T20:50:35.881Z"""
"73","2","23","33","""2025-08-30T20:50:39.109Z"""
"74","2","24","18","""2025-08-30T20:50:42.361Z"""
"75","2","25","40","""2025-08-30T20:50:45.017Z"""
"76","2","26","37","""2025-08-30T20:50:48.700Z"""
"77","2","27","21","""2025-08-30T20:50:52.278Z"""
"78","2","28","43","""2025-08-30T20:50:54.953Z"""
"79","2","29","46","""2025-08-30T20:50:59.126Z"""
"80","2","30","38","""2025-08-30T20:51:03.223Z"""
"81","2","31","18","""2025-08-30T20:51:07.020Z"""
"82","2","32","35","""2025-08-30T20:51:09.526Z"""
"83","2","33","23","""2025-08-30T20:51:12.994Z"""
"84","2","34","35","""2025-08-30T20:51:15.672Z"""
"85","2","35","35","""2025-08-30T20:51:19.122Z"""
"86","2","36","38","""2025-08-30T20:51:22.574Z"""
"87","2","37","29","""2025-08-30T20:51:26.274Z"""
"88","2","38","31","""2025-08-30T20:51:29.568Z"""
"89","2","39","43","""2025-08-30T20:51:32.800Z"""
"90","2","40","38","""2025-08-30T20:51:36.721Z"""
"91","3","1","17","""2025-08-30T20:51:40.361Z"""
"92","3","2","16","""2025-08-30T20:51:42.695Z"""
"93","3","3","17","""2025-08-30T20:51:45.076Z"""
"94","3","4","35","""2025-08-30T20:51:47.528Z"""
"96","3","5","19","""2025-08-30T23:19:57.886Z"""
"97","3","6","30","""2025-08-30T23:20:07.101Z"""
"98","3","7","38","""2025-08-30T23:20:11.337Z"""
"99","3","8","36","""2025-08-30T23:20:16.065Z"""
"100","3","9","24","""2025-08-30T23:20:20.631Z"""
"101","3","10","20","""2025-08-30T23:20:24.488Z"""
"102","3","11","47","""2025-08-30T23:20:28.113Z"""
"103","3","12","8","""2025-08-30T23:20:33.316Z"""
"104","3","13","59","""2025-08-30T23:20:36.232Z"""
"105","3","14","57","""2025-08-30T23:20:42.111Z"""
"106","3","15","33","""2025-08-30T23:20:47.920Z"""
"107","3","16","34","""2025-08-30T23:20:52.307Z"""
"108","3","17","16","""2025-08-30T23:20:56.753Z"""
"109","3","18","30","""2025-08-30T23:21:00.144Z"""
"110","3","19","37","""2025-08-30T23:21:04.341Z"""
"111","3","20","27","""2025-08-30T23:21:08.861Z"""
"112","3","21","24","""2025-08-30T23:21:12.983Z"""
"113","3","22","33","""2025-08-30T23:21:16.922Z"""
"114","3","23","44","""2025-08-30T23:21:21.343Z"""
"115","3","24","23","""2025-08-30T23:21:26.401Z"""
"116","3","25","55","""2025-08-30T23:21:30.280Z"""
"117","3","26","46","""2025-08-30T23:21:35.948Z"""
"118","3","27","34","""2025-08-30T23:21:41.185Z"""
"119","4","1","54","""2025-08-30T23:21:45.631Z"""
"120","4","2","34","""2025-08-30T23:21:51.266Z"""
"122","4","3","51","""2025-08-30T23:22:10.555Z"""
"123","4","4","49","""2025-08-30T23:22:22.743Z"""
"124","4","5","31","""2025-08-30T23:22:28.004Z"""
"125","4","6","27","""2025-08-30T23:22:32.257Z"""
"126","4","7","89","""2025-08-30T23:22:36.238Z"""
"127","4","8","26","""2025-08-30T23:22:43.775Z"""
"128","4","9","23","""2025-08-30T23:22:47.754Z"""
"129","4","10","36","""2025-08-30T23:22:51.550Z"""
"130","4","11","35","""2025-08-30T23:22:56.052Z"""
"131","4","12","16","""2025-08-30T23:23:00.605Z"""
"132","4","13","33","""2025-08-30T23:23:03.965Z"""
"133","4","14","45","""2025-08-30T23:23:08.300Z"""
"134","4","15","41","""2025-08-30T23:23:13.367Z"""
"135","4","16","50","""2025-08-30T23:23:18.165Z"""
"136","4","17","13","""2025-08-30T23:23:23.472Z"""
"137","4","18","32","""2025-08-30T23:23:26.666Z"""
"138","4","19","22","""2025-08-30T23:23:30.824Z"""
"139","4","20","29","""2025-08-30T23:23:34.406Z"""
"140","4","21","35","""2025-08-30T23:23:38.389Z"""
"141","4","22","41","""2025-08-30T23:23:42.729Z"""
"142","4","23","30","""2025-08-30T23:23:47.417Z"""
"143","4","24","25","""2025-08-30T23:23:51.463Z"""
"144","4","25","18","""2025-08-30T23:23:55.247Z"""
"145","4","26","65","""2025-08-30T23:23:58.593Z"""
"146","4","27","23","""2025-08-30T23:24:04.652Z"""
"147","4","28","31","""2025-08-30T23:24:08.301Z"""
"148","4","29","40","""2025-08-30T23:24:12.499Z"""
"149","4","30","16","""2025-08-30T23:24:17.243Z"""
"150","4","31","54","""2025-08-30T23:24:20.771Z"""
"151","4","32","42","""2025-08-30T23:24:26.324Z"""
"152","4","33","56","""2025-08-30T23:24:31.182Z"""
"153","4","34","29","""2025-08-30T23:24:36.872Z"""
"154","4","35","34","""2025-08-30T23:24:40.953Z"""
"155","4","36","13","""2025-08-30T23:24:45.342Z"""
"156","5","1","46","""2025-08-30T23:24:48.502Z"""
"157","5","2","37","""2025-08-30T23:24:53.499Z"""
"158","5","3","29","""2025-08-30T23:24:57.974Z"""
"159","5","4","49","""2025-08-30T23:25:01.982Z"""
"160","5","5","33","""2025-08-30T23:25:07.135Z"""
"161","5","6","25","""2025-08-30T23:25:11.356Z"""
"162","5","7","26","""2025-08-30T23:25:15.153Z"""
"163","5","8","20","""2025-08-30T23:25:19.096Z"""
"164","5","9","29","""2025-08-30T23:25:22.668Z"""
"165","5","10","22","""2025-08-30T23:25:26.760Z"""
"166","5","11","32","""2025-08-30T23:25:30.444Z"""
"167","5","12","32","""2025-08-30T23:25:34.714Z"""
"168","5","13","18","""2025-08-30T23:25:38.980Z"""
"169","5","14","29","""2025-08-30T23:25:42.433Z"""
"170","5","15","23","""2025-08-30T23:25:46.556Z"""
"171","5","16","22","""2025-08-30T23:25:50.294Z"""
"172","5","17","20","""2025-08-30T23:25:53.869Z"""
"173","5","18","22","""2025-08-30T23:25:57.337Z"""
"174","5","19","21","""2025-08-30T23:26:00.913Z"""
"175","5","20","20","""2025-08-30T23:26:04.443Z"""
"176","5","21","23","""2025-08-30T23:26:07.928Z"""
"177","5","22","30","""2025-08-30T23:26:11.594Z"""
"178","5","23","25","""2025-08-30T23:26:15.641Z"""
"179","5","24","22","""2025-08-30T23:26:19.498Z"""
"180","5","25","19","""2025-08-30T23:26:23.201Z"""
"181","5","26","19","""2025-08-30T23:26:26.711Z"""
"182","5","27","26","""2025-08-30T23:26:30.227Z"""
"183","5","28","68","""2025-08-30T23:26:34.199Z"""
"184","5","29","29","""2025-08-30T23:26:40.450Z"""
"185","5","30","20","""2025-08-30T23:26:44.538Z"""
"186","5","31","30","""2025-08-30T23:26:48.027Z"""
"187","5","32","52","""2025-08-30T23:26:52.200Z"""
"188","5","33","29","""2025-08-30T23:26:57.529Z"""
"189","5","34","12","""2025-08-30T23:27:01.677Z"""
"190","6","1","18","""2025-08-30T23:27:04.894Z"""
"191","6","2","24","""2025-08-30T23:27:08.395Z"""
"192","6","3","17","""2025-08-30T23:27:12.232Z"""
"193","6","4","24","""2025-08-30T23:27:15.702Z"""
"194","6","5","15","""2025-08-30T23:27:19.589Z"""
"195","6","6","27","""2025-08-30T23:27:22.929Z"""
"196","6","7","26","""2025-08-30T23:27:27.073Z"""
"197","6","8","35","""2025-08-30T23:27:31.062Z"""
"198","6","9","27","""2025-08-30T23:27:35.557Z"""
"199","6","10","43","""2025-08-30T23:27:39.602Z"""
"200","6","11","23","""2025-08-30T23:27:44.559Z"""
"201","6","12","24","""2025-08-30T23:27:48.377Z"""
"202","6","13","33","""2025-08-30T23:27:52.243Z"""
"203","6","14","15","""2025-08-30T23:27:56.743Z"""
"204","6","15","63","""2025-08-30T23:28:00.096Z"""
"205","6","16","10","""2025-08-30T23:28:06.210Z"""
"206","6","17","18","""2025-08-30T23:28:09.274Z"""
"207","6","18","28","""2025-08-30T23:28:12.778Z"""
"208","6","19","51","""2025-08-30T23:28:16.869Z"""
"209","6","20","9","""2025-08-30T23:28:22.421Z"""
"210","6","21","45","""2025-08-30T23:28:25.403Z"""
"211","6","22","34","""2025-08-30T23:28:30.493Z"""
"212","6","23","16","""2025-08-30T23:28:34.990Z"""
"213","6","24","33","""2025-08-30T23:28:38.402Z"""
"214","7","1","36","""2025-08-30T23:28:42.784Z"""
"215","7","2","23","""2025-08-30T23:28:47.348Z"""
"216","7","3","31","""2025-08-30T23:28:51.163Z"""
"217","7","4","24","""2025-08-30T23:28:55.437Z"""
"218","7","5","31","""2025-08-30T23:28:59.310Z"""
"219","7","6","40","""2025-08-30T23:29:03.580Z"""
"220","7","7","25","""2025-08-30T23:29:08.374Z"""
"221","7","8","35","""2025-08-30T23:29:12.196Z"""
"222","7","9","57","""2025-08-30T23:29:16.835Z"""
"223","7","10","18","""2025-08-30T23:29:22.622Z"""
"224","7","11","40","""2025-08-30T23:29:26.130Z"""
"225","7","12","15","""2025-08-30T23:29:30.934Z"""
"226","7","13","25","""2025-08-30T23:29:34.537Z"""
"227","7","14","20","""2025-08-30T23:29:38.445Z"""
"228","7","15","20","""2025-08-30T23:29:42.062Z"""
"229","7","16","31","""2025-08-30T23:29:45.714Z"""
"230","7","17","13","""2025-08-30T23:29:49.970Z"""
"231","7","18","31","""2025-08-30T23:29:53.212Z"""
"232","7","19","30","""2025-08-30T23:29:57.492Z"""
"233","7","20","48","""2025-08-30T23:30:01.682Z"""
"234","7","21","25","""2025-08-30T23:30:06.981Z"""
"235","8","1","22","""2025-08-30T23:30:11.016Z"""
"236","8","2","23","""2025-08-30T23:30:14.889Z"""
"237","8","3","18","""2025-08-30T23:30:19.208Z"""
"238","8","4","22","""2025-08-30T23:30:22.809Z"""
"239","9","1","28","""2025-08-30T23:30:26.571Z"""
"240","9","2","36","""2025-08-30T23:30:30.573Z"""
"241","9","3","21","""2025-08-30T23:30:35.166Z"""
"242","9","4","22","""2025-08-30T23:30:39.002Z"""
"243","9","5","12","""2025-08-30T23:30:42.879Z"""
"244","9","6","21","""2025-08-30T23:30:46.060Z"""
"245","9","7","17","""2025-08-30T23:30:49.756Z"""
"246","9","8","22","""2025-08-30T23:30:53.234Z"""
"247","9","9","27","""2025-08-30T23:30:56.911Z"""
"248","9","10","27","""2025-08-30T23:31:00.943Z"""
"249","9","11","15","""2025-08-30T23:31:05.110Z"""
"250","9","12","25","""2025-08-30T23:31:08.451Z"""
"251","9","13","23","""2025-08-30T23:31:12.379Z"""
"252","9","14","52","""2025-08-30T23:31:16.225Z"""
"253","9","15","35","""2025-08-30T23:31:21.717Z"""
"254","9","16","23","""2025-08-30T23:31:26.229Z"""
"255","9","17","58","""2025-08-30T23:31:30.318Z"""
"256","9","18","30","""2025-08-30T23:31:36.158Z"""
"257","9","19","24","""2025-08-30T23:31:40.393Z"""
"258","9","20","42","""2025-08-30T23:31:44.193Z"""
"259","9","21","15","""2025-08-30T23:31:49.171Z"""
"260","9","22","23","""2025-08-30T23:31:52.534Z"""
"261","9","23","29","""2025-08-30T23:31:56.430Z"""
"262","9","24","22","""2025-08-30T23:32:00.725Z"""
"263","9","25","44","""2025-08-30T23:32:04.462Z"""
"264","9","26","25","""2025-08-30T23:32:09.545Z"""
"265","9","27","12","""2025-08-30T23:32:13.460Z"""
"266","9","28","25","""2025-08-30T23:32:16.621Z"""
"267","9","29","11","""2025-08-30T23:32:20.561Z"""
"268","9","30","31","""2025-08-30T23:32:23.756Z"""
"269","9","31","13","""2025-08-30T23:32:27.921Z"""
"270","10","1","27","""2025-08-30T23:32:31.150Z"""
"271","10","2","32","""2025-08-30T23:32:35.210Z"""
"272","10","3","39","""2025-08-30T23:32:39.568Z"""
"273","10","4","12","""2025-08-30T23:32:44.217Z"""
"274","10","5","25","""2025-08-30T23:32:47.309Z"""
"275","10","6","23","""2025-08-30T23:32:51.277Z"""
"276","10","7","29","""2025-08-30T23:32:54.987Z"""
"277","10","8","18","""2025-08-30T23:32:59.036Z"""
"278","10","9","13","""2025-08-30T23:33:02.577Z"""
"279","10","10","19","""2025-08-30T23:33:05.826Z"""
